,UPTD Gudang Farmasi ,Puskesmas Balas Klumprik ,Puskesmas Banyu Urip ,Puskesmas Dukuh Kupang ,Puskesmas Gayungan ,Puskesmas Jagir ,Puskesmas Jemursari ,Puskesmas Kebonsari ,Puskesmas Kedurus ,Puskesmas Ngagel Rejo ,Puskesmas Pakis ,Puskesmas Putat Jaya ,Puskesmas Sawahan ,Puskesmas Sidosermo ,Puskesmas Siwalankerto ,Puskesmas Wiyung ,Puskesmas Wonokromo ,Pustu Babatan,Pustu Bendul Merisi,Pustu Dukuh Menanggal,Pustu Gunungsari,Pustu Jambangan,Pustu Karah,Pustu Kebraon,Pustu Ketintang,Pustu Margorejo,Pustu Pagesangan,Pustu Petemon,Pustu Pradah Kali Kendal,Pustu Putat Jaya,Pustu Sawunggaling,Pustu Simokatrungan,Pustu Warugunung
Pustu Jambangan,9.116,5.684,10.672,7.011,3.05,6.993,4.701,1.226,4.104,8.129,9.221,10.883,11.734,7.924,5.49,7.148,3.718,10.139,8.276,5.649,3.424,0.0,1.607,6.862,1.607,7.518,2.159,12.122,8.9,7.668,4.036,10.812,6.927
Pustu Karah,9.008,7.717,8.024,6.706,4.741,4.327,4.568,2.916,3.799,5.463,6.574,8.236,9.086,6.055,5.357,7.402,2.267,9.834,5.61,5.516,3.119,2.059,0.0,6.436,0.0,6.098,3.85,9.475,8.595,7.362,3.731,8.164,9.749
Pustu Kebraon,14.871,3.127,11.303,9.541,7.789,9.185,10.456,5.995,2.868,13.885,9.852,11.021,12.365,13.68,9.981,1.677,6.621,10.31,10.468,8.612,5.795,6.862,6.352,0.0,6.352,13.273,5.311,13.424,11.3,10.198,6.695,11.443,4.926
Pustu Ketintang,9.008,7.717,8.024,6.706,4.741,4.327,4.568,2.916,3.799,5.463,6.574,8.236,9.086,6.055,5.357,7.402,2.267,9.834,5.61,5.516,3.119,2.059,0.0,6.436,0.0,6.098,3.85,9.475,8.595,7.362,3.731,8.164,9.749
Pustu Margorejo,7.83,10.428,7.11,7.854,6.375,3.448,3.415,8.061,5.906,4.584,5.659,7.321,8.172,3.811,4.204,11.891,3.752,12.567,1.339,4.363,5.226,5.248,4.101,11.606,4.101,0.0,8.176,8.56,11.218,8.583,5.745,7.25,11.671
Pustu Pagesangan,9.373,4.134,10.929,9.15,2.189,7.25,4.958,1.483,6.334,8.386,9.478,11.14,11.991,8.181,5.747,5.597,5.858,13.776,8.533,5.765,5.563,2.159,3.397,5.311,3.397,7.775,0.0,12.379,11.04,9.807,6.176,11.069,5.376
Pustu Petemon,10.999,16.751,2.136,4.45,12.698,6.584,9.738,10.821,12.48,6.371,3.446,4.777,2.86,8.046,10.527,18.214,7.38,10.853,7.867,10.686,9.018,9.395,8.893,15.117,8.893,8.355,11.754,0.0,8.003,2.995,6.381,2.146,17.993
Pustu Pradah Kali Kendal,14.056,10.144,8.115,5.291,11.695,9.64,12.794,11.35,9.05,9.813,7.077,6.771,9.278,11.102,13.583,8.554,10.436,4.567,10.923,13.742,8.865,9.923,9.422,11.686,9.422,11.411,12.283,7.536,0.0,5.948,7.805,7.888,14.767
Pustu Putat Jaya,10.62,10.986,2.706,1.5,10.531,6.205,9.359,9.223,7.068,5.991,2.29,1.362,3.869,7.667,10.148,10.671,7.0,7.623,7.487,10.306,6.738,7.796,7.296,9.705,7.296,7.975,10.156,4.157,6.275,0.0,4.909,1.334,12.786
Pustu Sawunggaling,8.297,7.978,6.0,4.037,9.996,3.882,7.036,5.181,4.059,4.752,4.549,6.211,7.062,5.344,7.825,7.662,4.678,8.75,5.165,7.984,3.379,3.755,3.254,6.696,3.254,5.652,6.115,7.45,7.402,7.473,0.0,6.14,9.777
Pustu Simokatrungan,10.173,15.925,0.157,3.195,11.872,5.758,8.912,9.995,11.225,5.545,2.62,3.951,3.422,7.22,9.701,17.388,6.554,9.598,7.041,9.86,8.192,8.568,8.068,13.862,8.068,7.529,10.928,1.717,6.748,1.322,5.555,0.0,17.167
Pustu Warugunung,14.936,3.748,16.492,12.622,7.854,12.813,10.521,6.06,5.948,13.95,15.041,16.704,17.555,13.745,10.046,5.212,13.149,13.391,14.096,8.677,8.875,6.927,8.165,4.926,8.165,13.338,5.376,17.943,14.381,13.279,9.776,16.632,0.0
