,UPTD Gudang Farmasi ,Puskesmas Balas Klumprik ,Puskesmas Banyu Urip ,Puskesmas Dukuh Kupang ,Puskesmas Gayungan ,Puskesmas Jagir ,Puskesmas Jemursari ,Puskesmas Kebonsari ,Puskesmas Kedurus ,Puskesmas Ngagel Rejo ,Puskesmas Pakis ,Puskesmas Putat Jaya ,Puskesmas Sawahan ,Puskesmas Sidosermo ,Puskesmas Siwalankerto ,Puskesmas Wiyung ,Puskesmas Wonokromo ,Pustu Babatan,Pustu Bendul Merisi,Pustu Dukuh Menanggal,Pustu Gunungsari,Pustu Jambangan,Pustu Karah,Pustu Kebraon,Pustu Ketintang,Pustu Margorejo,Pustu Pagesangan,Pustu Petemon,Pustu Pradah Kali Kendal,Pustu Putat Jaya,Pustu Sawunggaling,Pustu Simokatrungan,Pustu Warugunung
Pustu Kebraon,7.914,1.379,6.781,5.292,2.228,4.897,4.39,1.552,1.476,6.708,6.134,5.858,7.702,6.585,4.156,1.167,4.419,3.713,5.151,3.701,3.667,1.932,2.764,0.0,2.764,4.76,1.404,7.805,4.804,6.112,4.493,6.698,3.762
Pustu Ketintang,5.702,4.142,4.795,3.618,2.579,2.145,2.476,1.646,1.35,3.945,3.762,3.704,5.508,3.964,3.313,3.848,1.685,4.583,2.511,3.384,1.782,0.911,0.0,2.764,0.0,2.264,2.375,5.917,4.791,4.249,1.923,4.726,6.526
Pustu Margorejo,3.463,6.105,5.387,4.781,3.522,1.144,1.184,3.279,3.533,2.626,3.974,4.291,5.705,1.844,2.794,5.916,1.798,6.787,0.589,3.328,3.371,2.857,2.264,4.76,2.264,0.0,3.84,6.476,6.76,5.086,2.46,5.349,8.415
Pustu Pagesangan,6.72,2.449,7.03,5.679,0.826,4.269,3.221,0.73,1.668,6.133,6.116,5.989,7.826,5.68,2.766,2.464,4.019,4.96,4.326,2.298,3.861,1.489,2.375,1.404,2.375,3.84,0.0,8.125,5.841,6.421,4.296,6.955,4.616
Pustu Petemon,8.936,8.884,1.13,2.514,8.482,5.334,7.537,7.423,6.531,4.835,2.509,2.256,1.126,6.533,8.946,8.369,4.804,6.111,6.054,9.204,4.264,6.674,5.917,7.805,5.917,6.476,8.125,0.0,4.674,1.707,4.204,1.193,11.028
Pustu Pradah Kali Kendal,10.16,5.318,4.193,2.942,6.553,6.002,7.253,5.399,4.301,6.941,4.742,4.086,5.261,7.96,7.977,4.767,5.151,1.596,6.721,7.844,3.413,4.93,4.791,4.804,4.791,6.76,5.841,4.674,0.0,3.586,4.606,4.113,6.975
Pustu Putat Jaya,7.929,7.227,0.703,0.855,6.798,3.982,6.058,5.724,4.824,4.015,1.46,0.854,1.766,5.515,7.378,6.724,3.319,4.799,4.749,7.584,2.56,4.979,4.249,6.112,4.249,5.086,6.421,1.707,3.586,0.0,2.672,0.614,9.426
Pustu Sawunggaling,5.63,5.829,3.077,2.322,4.461,1.457,3.386,3.566,3.018,2.528,1.866,1.949,3.648,3.357,4.743,5.444,0.663,5.04,2.228,5.017,1.299,2.816,1.923,4.493,1.923,2.46,4.296,4.204,4.606,2.672,0.0,3.023,8.207
Pustu Simokatrungan,7.999,7.83,0.089,1.469,7.295,4.217,6.38,6.247,5.382,3.971,1.457,1.075,1.169,5.579,7.765,7.33,3.638,5.383,4.96,8.013,3.1,5.495,4.726,6.698,4.726,5.349,6.955,1.193,4.113,0.614,3.023,0.0,10.038
Pustu Warugunung,11.289,2.389,10.126,8.572,5.182,8.652,7.829,5.138,5.222,10.47,9.725,9.35,11.136,10.258,7.056,2.776,8.176,5.402,8.855,6.38,7.231,5.673,6.526,3.762,6.526,8.415,4.616,11.028,6.975,9.426,8.207,10.038,0.0
